start,title,company,location,posted_time,employment_type,work_setup,career_level,experience_years,tags,link
221,Senior BIM Coordinator,Raafat Miller Consulting,"Giza,Egypt",,Full Time,On-site,Experienced,8+ Yrs of Exp,"Engineering - Construction/Civil/Architecture, Revit Architecture, Revit BIM, Revit Structure Software, Revit MEP, Navisworks, BIM, BIM Modeling, Shop Drawings, Technical Office Engineering",https://wuzzuf.net/jobs/p/a1y7jkzdpyee-senior-bim-coordinator-raafat-miller-consulting-giza-egypt
225,Biomedical Engineer,Saudi German Hospital,"New Nozha,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Medical/Healthcare, Engineering - Other, Biomedical Engineering, Biomedical, Bioengineering, Health Care, hospitals",https://wuzzuf.net/jobs/p/fxzfrr5ddatu-biomedical-engineer-saudi-german-hospital-cairo-egypt
226,Senior Financial Planning Analyst,Tamweely,"Downtown,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 6 Yrs of Exp,"Accounting/Finance, Analyst/Research, CFA, Accounting, Financial Analysis, Finance, analytical skills, Financial, Financial Management",https://wuzzuf.net/jobs/p/58kz8szyecve-senior-financial-planning-analyst-tamweely-cairo-egypt
228,Biomedical Maintenance Engineer,View Medical,"Cairo,Egypt",,Full Time,Hybrid,Experienced,1 - 1 Yrs of Exp,"Engineering - Mechanical/Electrical, Maintenance Engineering, laboratory IVD",https://wuzzuf.net/jobs/p/1wdcn8prroyg-biomedical-maintenance-engineer-view-medical-cairo-egypt
235,Senior Data Analysis Officer,Med Right For Medical Services,"Cairo,Egypt",,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,"Operations/Management, Medical/Healthcare, Data Analysis, Medical Insurance",https://wuzzuf.net/jobs/p/kijqnqpymxbv-senior-data-analysis-officer-med-right-for-medical-services-cairo-egypt
236,"Financial Analysis, Planning, & Reporting (FP&A)",SAK Developments,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance, Financial Analysis, Planning, & Reporting (FP&A), FP&A",https://wuzzuf.net/jobs/p/qid9kamubpud-financial-analysis-planning-reporting-fpa-sak-developments-cairo-egypt
237,Operation Director-Exhibitions,Konzept,"Maadi,Cairo,Egypt",,Full Time,On-site,Senior Management,8+ Yrs of Exp,"Operations/Management, Marketing, Project Management, Operations Management, Budget Management",https://wuzzuf.net/jobs/p/bps09m3aspwd-operation-director-exhibitions-konzept-cairo-egypt
238,Data Analyst,Top Chef,"Obour City,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Microsoft Excel, Power BI, PivotTables, Data analysis, Microsoft excel, Power bi",https://wuzzuf.net/jobs/p/lhxtsptcb7r1-data-analyst-top-chef-cairo-egypt
239,Bilingual Spanish/English Customer Support,TaskUs,"Sheikh Zayed,Giza,Egypt",,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,"Customer Service/Support, Soft Skills, Communication, Customer Service, Detail Oriented, Customer Support, Customer Care, Customer Relations",https://wuzzuf.net/jobs/p/havmj6ijbene-bilingual-spanishenglish-customer-support-taskus-giza-egypt
240,Data Analyst,MINISO LIFE,"Cairo,Egypt",,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Collect, organize, and analyze data from multiple sources., Prepare reports and dashboards for management., Provide insights and recommendations to improve performance and support decision-making., Collaborate with different teams to support company objectives., Bachelor’s degree in Statistics, Mathematics, Computer Science, or a related field., Experience in data analysis and using BI tools (such as Excel, Power BI, or Tableau)., Strong analytical skills with the ability to interpret data accurately.",https://wuzzuf.net/jobs/p/aoeklax6waer-data-analyst-miniso-life-cairo-egypt
241,Data Analyst,Egyptian Company for Cosmetics,"Nasr City,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Analyst/Research, Analysis, Data Analysis, Microsoft Excel, Power BI, Data Mapping, Data analysis, Microsoft excel, Power bi, Data mapping",https://wuzzuf.net/jobs/p/s1kldppidnly-data-analyst-egyptian-company-for-cosmetics-cairo-egypt
242,Biomedical Engineer (Service and Installation),BTL Industries Egypt,"Maadi,Cairo,Egypt",,Full Time,Hybrid,Entry Level,0 - 2 Yrs of Exp,"Installation/Maintenance/Repair, Engineering - Other, Biomedical Engineering, Biomedical, Interpersonal skills, Engineering, Electronic, Communication, Medical, Maintenance",https://wuzzuf.net/jobs/p/jupinlwt7xmc-biomedical-engineer-service-and-installation-btl-industries-egypt-cairo-egypt
243,Electrical BIM Engineer,Eracore,"Cairo,Egypt",,Full Time,Remote,Experienced,3+ Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical, Autodesk Revit, BIM coordination, Autodesk Navisworks, BIM Modeling, Revit MEP, Revit Training, Autodesk BIM 360, MEP Engineering",https://wuzzuf.net/jobs/p/eaf1oojvjulq-electrical-bim-engineer-eracore-cairo-egypt
245,BIM Engineer (All Disciplines),Vital Konzept,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical, BIM, Revit, MEP, Architecture, Structure, Communication, Shop Drawings, Design",https://wuzzuf.net/jobs/p/z3hsyvvhp7vt-bim-engineer-all-disciplines-vital-konzept-cairo-egypt
245,Data Entry - Excel Specialist,WeLyra,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,"Administration, Microsoft Excel, Computer Skills, Microsoft excel, Data entry, Computer skills, Administrative support, Accuracy and attention to detail, Time management, Communication skills",https://wuzzuf.net/jobs/p/av9kjz8igtui-data-entry-excel-specialist-welyra-cairo-egypt
249,Data Analyst,Sakr Group,"Nasr City,Cairo,Egypt",,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, SAP, Power BI, Tableau, Microsoft Office",https://wuzzuf.net/jobs/p/u4jory0gh3et-data-analyst-sakr-group-cairo-egypt
251,Telesales Agent - Arabic,Etisalat Egypt,"Nasr City,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Sales/Retail, Sales skills, Handling skills, Arabic language proficiency, Customer relationship management (crm), Communication skills, Persuasion skills, Negotiation skills, Active listening, Problem-solving",https://wuzzuf.net/jobs/p/fk1emv0amepw-telesales-agent-arabic-etisalat-egypt-cairo-egypt
256,Outpatient Claims Processor (Data Entry) - Alexandria Branch,GlobeMed Egypt,"Alexandria,Egypt",,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Administration, Document Controlling, Administration, Computer Skills, Microsoft Office, Microsoft Excel, Data Entry, English, Document controlling, Computer skills",https://wuzzuf.net/jobs/p/bm5ptdjyvtgp-outpatient-claims-processor-data-entry-alexandria-branch-globemed-egypt-alexandria-egypt
258,Sales Analyst,Kgroup,"Nasr City,Cairo,Egypt",,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,"IT/Software Development, Analyst/Research, Sales/Retail, Microsoft Excel, Power BI, Tableau, CRM Systems, ERP Systems, SQL, Data Analysis & Interpretation",https://wuzzuf.net/jobs/p/v4ndkdczclfl-sales-analyst-kgroup-cairo-egypt
259,SAP MM Analyst,MK Enterprise,"Downtown,Cairo,Egypt",,Full Time,On-site,Experienced,4+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, SAP MM configuration, Procurement process management, Inventory management, Business process analysis, SAP integration, Troubleshooting and problem-solving, User training and support, Documentation",https://wuzzuf.net/jobs/p/oynzbmxcfxwv-sap-mm-analyst-mk-enterprise-cairo-egypt
259,Junior Database Administration,MTS,"Alexandria,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, SQL, MongoDB",https://wuzzuf.net/jobs/p/gxctwgrmkz70-junior-database-administration-mts-alexandria-egypt
262,Senior Planning and Reporting Analyst (FP&A),ZeroCarbon,"Abdeen,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 4 Yrs of Exp,"Accounting/Finance, Analyst/Research, Business Planning, Budgeting, Performance Reporting, Power BI",https://wuzzuf.net/jobs/p/ohsn5b9ix1yo-senior-planning-and-reporting-analyst-fpa-zerocarbon-cairo-egypt
262,Bid and Tender Engineer,Eamar Al Delta,"Tanta,Gharbia,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering, Construction, Civil Engineering, Procurement, Microsoft Office, Bid Management",https://wuzzuf.net/jobs/p/8byxhi7xt6gw-bid-and-tender-engineer-eamar-al-delta-gharbia-egypt
266,Senior Mechanical BIM Engineer,ElSoadaa Group,"Cairo,Egypt",,Full Time,On-site,Experienced,6 - 13 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical, Revit, Revit BIM, Mechanical Engineering, AutoCAD, Microsoft office, Elite, HAP and BIM, SAP User",https://wuzzuf.net/jobs/p/4anrcabvoulv-senior-mechanical-bim-engineer-el-soadaa-group-cairo-egypt
268,Team Leader – Structure BIM Engineer,AIM United,"Dokki,Giza,Egypt",,Full Time,On-site,Manager,6 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Navisworks, Shop Drawings, Autodesk Revit (Structure), Civil 3D, AutoCAD, BIM 360, BIM Coordination, LOD 300 / 400 / 500, Quantity Takeoff",https://wuzzuf.net/jobs/p/pjjihsgszx9w-team-leader-structure-bim-engineer-aim-united-giza-egypt
268,Jr. Plumbing & Firefighting Engineer,Afniah Consulting Engineering,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Engineering - Mechanical/Electrical, Engineering, Design, Mechanical Engineering, Plumbing, Revit, AutoCAD",https://wuzzuf.net/jobs/p/ie7bedhwqplj-jr-plumbing-firefighting-engineer-afniah-consulting-engineering-cairo-egypt
274,"Senior Mechanical Design Engineer ""HVAC & Firefighting And Plumbing""",Q Design,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,7 - 11 Yrs of Exp,"Creative/Design/Art, Engineering - Mechanical/Electrical, Mechanical Engineering, Engineering, AutoCAD, BOQ, Design, Mechanical, Firefighting, Plumbing",https://wuzzuf.net/jobs/p/geev8jsw2uw7-senior-mechanical-design-engineer-hvac-firefighting-and-plumbing-q-design-cairo-egypt
275,Senior Business Analyst,Egabi FSI,"Sheraton,Cairo,Egypt",,Full Time,On-site,Experienced,4+ Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analyst, Computer Science, Business Analysis, Information Technology (IT), English, Testing, Analysis",https://wuzzuf.net/jobs/p/cfrm2qyuzx0j-senior-business-analyst-egabi-fsi-cairo-egypt
277,Data Entry,Neurix Labs,"Nasr City,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Administration, Strong organizational skills, High attention to detail and accuracy, Data Entry, Administration, Microsoft Excel, Digital Records",https://wuzzuf.net/jobs/p/iy8hrkgt3zoi-data-entry-neurix-labs-cairo-egypt
278,Bilingual French Speaker Customer Support Specialist,Intouch CX,"Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Customer Service/Support, Call Center, Call center agent, Customer Care, Customer Service, Customer Support",https://wuzzuf.net/jobs/p/jsmps6isc5st-bilingual-french-speaker-customer-support-specialist-intouch-cx-cairo-egypt
278,Bilingual French & English Customer Service Representative,TTEC,"Maadi,Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Customer Service/Support, Customer, Customer Care, Customer Service, french",https://wuzzuf.net/jobs/p/taokkiumhmdd-bilingual-french-english-customer-service-representative-ttec-cairo-egypt
282,Data Engineer,Sana Commerce,"Alexandria,Egypt",,Full Time,Hybrid,Experienced,8+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Machine Learning, Artificial Intelligence (AI), Data Engineering",https://wuzzuf.net/jobs/p/yfbo1jgljx7s-data-engineer-sana-commerce-alexandria-egypt
284,Data Entry - Night Shift - On-site,K Line Europe,"Nasr City,Cairo,Egypt",,Full Time,On-site,Entry Level,0 - 4 Yrs of Exp,"Administration, Customer Service/Support, Data Entry, ERP System, English, Microsoft Excel, Attention to detail, Data entry, Time management, Communication",https://wuzzuf.net/jobs/p/cbamvdknmujg-data-entry-night-shift-on-site-k-line-europe-cairo-egypt
287,Data Entry,Egypt Otsuka,"Nasr City,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 4 Yrs of Exp,"Administration, Typing, Organizing, Data Entry",https://wuzzuf.net/jobs/p/2vxxextpl5my-data-entry-egypt-otsuka-cairo-egypt
288,Mobile Application Developer,Elmadf,"Hadayek Alahram,Giza,Egypt",,Full Time,On-site,Experienced,2 - 7 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Mobile Application Development, RESTful APIs, UI/UX, MySQL, PostgreSQL, iOS Development, Android",https://wuzzuf.net/jobs/p/i3sztcxafxqz-mobile-application-developer-elmadf-giza-egypt
290,Part-Time Mechanical/Process Engineer or Drafter (As-Built to BIM),Geopro,"Nasr City,Cairo,Egypt",,Freelance / Project,Hybrid,Experienced,2 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture, BIM Modeling, plant 3d, As built, AEC, Autodesk Revit",https://wuzzuf.net/jobs/p/zzs3jrzx6eyp-part-time-mechanicalprocess-engineer-or-drafter-as-built-to-bim-geopro-cairo-egypt
291,BIM Coordinator.,Q Design,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,7 - 15 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Creative/Design/Art, Revit, Revit BIM, BIM, Design, BIM Coordination, Construction",https://wuzzuf.net/jobs/p/xf6ctbapxxsa-bim-coordinator-q-design-cairo-egypt
292,Junior Data Analyst,Wadi Group,"Sheikh Zayed,Giza,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Operations/Management, Analyst/Research, Data Analysis, Data Analytics, Statistical Analysis, Planning, Organizing, Communication, Critical thinking, Report writing",https://wuzzuf.net/jobs/p/deipudnut5wh-junior-data-analyst-wadi-group-giza-egypt
293,HSE Section Head – Mobile Networks and Switch Sites,LSE,"Nasr City,Cairo,Egypt",,Full Time,On-site,Manager,6 - 10 Yrs of Exp,"Operations/Management, Quality, Engineering - Mechanical/Electrical, Universal Mobile Telecommunications, Mobile Networks, GSM / LTE / 4G / 5G, Switch Sites, Telecom Infrastructure, Power Rooms, Fleet Operations",https://wuzzuf.net/jobs/p/jvzzgrktpmgo-hse-section-head-mobile-networks-and-switch-sites-lse-cairo-egypt
293,Warehouse Capability Manager,Speed international for trading and distribution,"Smouha,Alexandria,Egypt",,Full Time,On-site,Manager,5+ Yrs of Exp,"Logistics/Supply Chain, Inventory Management, Warehouse Operations, Logistics Management, Supply Chain",https://wuzzuf.net/jobs/p/gzqxojzcvkyp-warehouse-capability-manager-speed-international-for-trading-and-distribution-alexandria-egypt
294,Mobile Maintenance Engineer,Etisal EG,"Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Installation/Maintenance/Repair, Engineering - Telecom/Technology, Data Driven, Maintenance, Engineering, Hardware, Computer Skills, Mechanical Engineering, Maintenance Engineering, Electronics Maintenance",https://wuzzuf.net/jobs/p/b9oygmwknaik-mobile-maintenance-engineer-etisal-eg-cairo-egypt
294,Business Analyst,Electro Pi,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Analyst/Research, Business Analysis, Requirements Gathering, Process Improvement & Workflow Optimization, Agile & Scrum Methodologies, Stakeholder Management, Technical Specification & System Analysis, Familiarity with AI / Machine Learning concepts, Product Requirements Definition for Tech/AI projects",https://wuzzuf.net/jobs/p/wludgyeoz23u-business-analyst-electro-pi-cairo-egypt
295,Department Coordinator/Data Entry,Misr Elhegaz Group,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Coordination, Data Entry, ERP System, HR Systems",https://wuzzuf.net/jobs/p/vejpegzncttb-department-coordinatordata-entry-misr-elhegaz-group-cairo-egypt
296,BIM360 ACC Support Consultant,RISEUP (Endemag for Administrative Skills Development),"Maadi,Cairo,Egypt",,Full Time,Hybrid,Experienced,2+ Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical, Engineering - Other, ACC, BIM360, AI, Microsoft Excel, CSV, XML, Autodesk",https://wuzzuf.net/jobs/p/lqb8sud3ht6n-bim360-acc-support-consultant-riseup-endemag-for-administrative-skills-development-cairo-egypt
296,IDMC Informatica Data Management Cloud Developer,Efada Technology,"Cairo,Egypt",,Full Time,Remote,Experienced,4+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Informatica, Data Management, Software Development, Microsoft Certified Solutions Developer, Program Development",https://wuzzuf.net/jobs/p/f10qjotcjnth-idmc-informatica-data-management-cloud-developer-efada-technology-cairo-egypt
297,Financial Analyst,Cultiv,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance, Analyst/Research, Financial Analysis, Finance, Analysis, Financial, Excel, Computer Skills, Analytical, Data",https://wuzzuf.net/jobs/p/07dpy4g27a0o-financial-analyst-cultiv-cairo-egypt
303,English & Arabic Copywriter,Vertex Technologies,"Cairo,Egypt",,Full Time,On-site,Experienced,2+ Yrs of Exp,"Writing/Editorial, Marketing/PR/Advertising, Media/Journalism/Publishing, Copywriting, Content Writing, Content Adaptation, Digital Content, Marketing Communications, IT Interest, English B2+",https://wuzzuf.net/jobs/p/ohqynuw1feud-english-arabic-copywriter-vertex-technologies-cairo-egypt
304,Financial Planning Analyst,Beyti  an Almarai Subsidiary,"Alexandria,Egypt",,Full Time,On-site,Experienced,3+ Yrs of Exp,"Accounting/Finance, Logistics/Supply Chain, Finance, Manufacturing, Supply Chain, Supply Chain finance, Financial Planning, Financial Services, Financial Accounting",https://wuzzuf.net/jobs/p/h5p4afrajssa-financial-planning-analyst-beyti-an-almarai-subsidiary-alexandria-egypt
312,Senior Architect BIM Technical Office Engineer,ElSoadaa Group,"Rehab City,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical, BIM Modeling, Architectural Design, Technical Drawing Preparation, Clash Detection, Project Coordination, Construction Documentation, Quantity Take-off, Problem Solving",https://wuzzuf.net/jobs/p/qjo928sgxfkg-senior-architect-bim-technical-office-engineer-el-soadaa-group-cairo-egypt
312,MEP BIM Coordinator (Mechanical & Electrical),ecoSAS International,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 5 Yrs of Exp,"Engineering - Mechanical/Electrical, Electrical Engineering, Mechanical Engineering, Revit MEP, ISO 19650, BIM, BIM Modeling, Mechanical, Mechanical Drawing",https://wuzzuf.net/jobs/p/gy9ezdyj8obb-mep-bim-coordinator-mechanical-electrical-ecosas-international-cairo-egypt
314,Arabic Teacher/English Speaker,Kompass School,"Maadi,Cairo,Egypt",,Full Time,On-site,Entry Level,1+ Yrs of Exp,"Education/Teaching, Arabic Teaching, english speaker, Teaching, Arabic Teacher",https://wuzzuf.net/jobs/p/tjesdcx3piqf-arabic-teacherenglish-speaker-kompass-school-cairo-egypt
314,Senior BIM Coordinator,ARX | Smart Minds,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,8 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical, Revit BIM, 3D CAD, CAD Drawing, Navisworks, 4D, 5D",https://wuzzuf.net/jobs/p/jxl4ipiscfjv-senior-bim-coordinator-arx-smart-minds-cairo-egypt
317,Senior BIM Engineer,Estithmar Holding,"Downtown,Cairo,Egypt",,Full Time,On-site,Experienced,4 - 6 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Autodesk Revit, Architecture, Engineering, Navisworks, AutoCAD, AutoCAD Architecture, Autodesk Autocad, Autodesk",https://wuzzuf.net/jobs/p/43g3dy48eiae-senior-bim-engineer-estithmar-holding-cairo-egypt
326,Biomedical Maintenance Engineer,ElAhlyia Health Care For Medical Supplies,"Sheraton,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Installation/Maintenance/Repair, Medical/Healthcare, Engineering - Other, Biomedical Engineering, Biomedical Equipment, Biomedical, Healthcare, Equipment Maintenance",https://wuzzuf.net/jobs/p/dgjzj43pntkc-biomedical-maintenance-engineer-el-ahlyia-health-care-for-medical-supplies-cairo-egypt
327,Financial Analyst,Elsewedy industries,"10th of Ramadan City,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance, Accounting, financial analyst, Financial Analysis, Analyst, Finance, Forecasting, Financial, Corporate Finance, Reporting",https://wuzzuf.net/jobs/p/7rzmfcwyhhkw-financial-analyst-elsewedy-industries-cairo-egypt
327,Senior Data Analyst,Al Ahly capital holding  Al Ahly Tamkeen,"Zamalek,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Microsoft SQL, SQL, Power BI",https://wuzzuf.net/jobs/p/pdbhnhmsyty2-senior-data-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt
333,Data Entry Clerk,Confidential,"Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Administration, Human Resources (HR), Data Entry, data, Data entry, Human resources (hr), Data collection, Data analysis, Microsoft excel, Attention to detail",https://wuzzuf.net/jobs/p/tg3oao7v5jsg-data-entry-clerk-cairo-egypt
333,Payments Business Analyst,Efada Technology,"Cairo,Egypt",,Full Time,On-site,Experienced,4+ Yrs of Exp,"IT/Software Development, Analyst/Research, Business Analysis, Business Analytics, Software Development, Banking, Finance, CMS, Payment Solutions, Payments",https://wuzzuf.net/jobs/p/fyockxce7vku-payments-business-analyst-efada-technology-cairo-egypt
336,Credit Analyst - Microfinance,Erada,"Maadi,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance, Analyst/Research, Credit Analysis, Credit Risk, Credit Administration, Credit Control, Credit Management, credit, analyst",https://wuzzuf.net/jobs/p/rolwdqeixchj-credit-analyst-microfinance-erada-cairo-egypt
337,Senior Business Analyst – Software & IT Focus (Immediate Join),Confidential,"Nasr City,Cairo,Egypt",,Full Time,Hybrid,Experienced,4 - 8 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Analysis, Analyst, Business Analyst, Computer Science, Healthcare, Information Technology (IT)",https://wuzzuf.net/jobs/p/wtklo9zlozbj-senior-business-analyst-software-it-focus-immediate-join-cairo-egypt
338,Senior Business Data Analytics,Erada,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"IT/Software Development, Analyst/Research, Business Analysis, Power BI, Tableau, IT",https://wuzzuf.net/jobs/p/nxrxmf7zyqnc-senior-business-data-analytics-erada-cairo-egypt
339,Senior (Associate) Financial Analyst,PRE Group,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance, Analyst/Research, Investment, Microsoft Excel, Microsoft Powerpoint, Financial Modeling, Asset Management, Equity Research, Investment Banking, Microsoft excel",https://wuzzuf.net/jobs/p/vlfiu6lbftnt-senior-associate-financial-analyst-pre-group-cairo-egypt
340,AI & Data,Global Brands,"Cairo,Egypt",,Internship,Hybrid,Entry Level,,"IT/Software Development, LLM, Python, Machine Learning",https://wuzzuf.net/internship/tnp3jkmtfh2i-ai-data-global-brands-cairo-egypt
341,Electrical BIM Engineer,Bimmovate,"Cairo,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Engineering - Mechanical/Electrical, Revit, Navisworks, Autodesk, AutoCAD, Electrical Engineering, BIM Engineer, Electrical BIM Engineer, Electrical Engineer",https://wuzzuf.net/jobs/p/hbvizvwvxwfe-electrical-bim-engineer-bimmovate-cairo-egypt
345,Data Engineer,Confidential,"Cairo,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Engineering, ETL Development, Python, Data Warehousing, Database Management, Data Integration, Data Modeling",https://wuzzuf.net/jobs/p/q8emzmntsvri-data-engineer-cairo-egypt
348,BIM Architectural Junior Engineer,Takweenat,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,"Engineering - Construction/Civil/Architecture, BIM, Revit, Architecture",https://wuzzuf.net/jobs/p/xw3heayyhb5p-bim-architectural-junior-engineer-takweenat-cairo-egypt
348,BIM Coordination Senior Engineer,Takweenat,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 4 Yrs of Exp,"Engineering - Construction/Civil/Architecture, BIM, Revit, Architecture",https://wuzzuf.net/jobs/p/ny0zc3iewkoi-bim-coordination-senior-engineer-takweenat-cairo-egypt
348,BIM Architectural Senior Engineer,Takweenat,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 4 Yrs of Exp,"Engineering - Construction/Civil/Architecture, BIM, Revit, Architecture",https://wuzzuf.net/jobs/p/rgqciqnejlis-bim-architectural-senior-engineer-takweenat-cairo-egypt
349,BIM Architectural Manager,Takweenat,"New Cairo,Cairo,Egypt",,Full Time,On-site,Manager,7+ Yrs of Exp,"Engineering - Construction/Civil/Architecture, Project/Program Management, BIM, Architecture, Revit",https://wuzzuf.net/jobs/p/daxco1qubebu-bim-architectural-manager-takweenat-cairo-egypt
354,Scan To BIM Specialist,AIM United,"Dokki,Giza,Egypt",,Full Time,On-site,Experienced,3+ Yrs of Exp,"Engineering - Construction/Civil/Architecture, Scan to BIM, Point Cloud, Recap, Revit, RVT, RCP, Navisworks",https://wuzzuf.net/jobs/p/sf0ttfb2rou6-scan-to-bim-specialist-aim-united-giza-egypt
357,Data Scientist – Computer Vision & Financial Intelligence,Erada,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,3+ Yrs of Exp,"Engineering - Telecom/Technology, Data Science, Data Analytics, AI, Computer Engineering, Computer Science, Computer Vision, OCR",https://wuzzuf.net/jobs/p/j2aroop6qnai-data-scientist-computer-vision-financial-intelligence-erada-cairo-egypt
357,West Africa Mobility Manager,Confidential,"Cairo,Egypt",,Full Time,On-site,Manager,5+ Yrs of Exp,"Business Development, Mobility Management, Cross-Cultural Communication, Problem Solving",https://wuzzuf.net/jobs/p/wnnhqtntzfyy-west-africa-mobility-manager-cairo-egypt
358,Data Analyst manager,Confidential,"New Cairo,Cairo,Egypt",,Full Time,On-site,Manager,5 - 7 Yrs of Exp,"Accounting/Finance, Analyst/Research, Analyst, Analysis, Data Analysis, Data Analyst, analytical",https://wuzzuf.net/jobs/p/wm0gnesr8hq3-data-analyst-manager-cairo-egypt
368,Senior Business Analyst,DAF Holding,"Cairo,Egypt",,Full Time,Hybrid,Experienced,4 - 7 Yrs of Exp,"IT/Software Development, Business process analysis, Digital transformation, Agile methodologies",https://wuzzuf.net/jobs/p/fzivdlpfco3v-senior-business-analyst-daf-holding-cairo-egypt
368,Sustainability Section Head,ZeroCarbon,"Cairo,Egypt",,Full Time,On-site,Manager,5+ Yrs of Exp,"R&D/Science, Engineering - Other, Environmental Science, sustainability standards, ISO 14001",https://wuzzuf.net/jobs/p/lo3sxtzb21en-sustainability-section-head-zerocarbon-cairo-egypt
