start,title,company,location,posted_time,employment_type,work_setup,career_level,experience_years,tags,link
142,Senior Mechanical BIM Engineer,Sinomacdi,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"Creative/Design/Art, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical, Mechanical Engineering, Design, HVAC, Mechanical, Revit, BIM, Mechanical Design",https://wuzzuf.net/jobs/p/7ts20ugxtkrr-senior-mechanical-bim-engineer-sinoma-cdi-cairo-egypt
142,Senior Architectural BIM Engineer,Sinomacdi,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Creative/Design/Art, Architecture, BIM, Civil Engineering, Revit, AutoCAD, Navisworks, Construction Management, Structural Analysis",https://wuzzuf.net/jobs/p/jqzstangnkmw-senior-architectural-bim-engineer-sinoma-cdi-cairo-egypt
142,Senior Structural BIM Engineer,Sinomacdi,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Design, Structural Engineering, Engineering, Civil Engineering, Construction Management, AutoCAD, ETABS, SAP2000, Project Management",https://wuzzuf.net/jobs/p/ebrlalbssriy-senior-structural-bim-engineer-sinoma-cdi-cairo-egypt
142,Quality Assurance Analyst,Alpha Bridge,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Quality, Purchasing/Procurement, Procurement, Purchasing, Research, Quality Control, Quality Assurance, Testing, QA, Chemistry",https://wuzzuf.net/jobs/p/hxpj0qbzw7fk-quality-assurance-analyst-alpha-bridge-cairo-egypt
144,Junior .NET & SQL Developer – Microsoft AX ERP​,Sega_m,"10th of Ramadan City,Sharqia,Egypt",,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,"IT/Software Development, Computer Science, ERP, Information Technology (IT), Software Development, SQL, Microsoft .Net Framework, .Net Development",https://wuzzuf.net/jobs/p/5eknfmquxjrf-junior-net-sql-developer-microsoft-ax-erp-segam-sharqia-egypt
144,Senior Business Analyst,Youxel,"Cairo,Egypt",,Full Time,Hybrid,Experienced,4+ Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Information Technology (IT), Engineering, Software Development, Software, Software Engineering, Computer Science",https://wuzzuf.net/jobs/p/a3yf7daia6vn-senior-business-analyst-youxel-cairo-egypt
144,GL & Reporting Section Head,Amreyah Cement,"Nasr City,Cairo,Egypt",,Full Time,On-site,Manager,10+ Yrs of Exp,"Accounting/Finance, General Ledger Management, Financial Reporting, Accounting, GL & Reporting Section Head, IFRS, CPA, ACCA, ESAA, Tax Law",https://wuzzuf.net/jobs/p/bedve0e94g32-gl-reporting-section-head-amreyah-cement-cairo-egypt
146,FP & A Analyst /senior Analyst,Dabur,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance, Business Development, Analyst/Research, Finance, Financial Analysis, Financial Planning, Financial Management, Financial, Accounting, Planning",https://wuzzuf.net/jobs/p/nasbnwgpsyej-fp-a-analyst-senior-analyst-dabur-cairo-egypt
149,Bilingual French Speaker Agents,Intouch CX,"Sheikh Zayed,Giza,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Customer Service/Support, Customer Care, Customer Service, Customer Support, French, English",https://wuzzuf.net/jobs/p/97fhfeccvok5-bilingual-french-speaker-agents-intouch-cx-giza-egypt
150,Budgeting & Reporting Analyst – FMCG/Retail,Bim Stores,"6th of October,Giza,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance, Accounting, Analysis, Finance, Financial, Financial Analysis, Reporting, Planning, SAP, ERP",https://wuzzuf.net/jobs/p/bitqm8zumo4t-budgeting-reporting-analyst-fmcgretail-bim-stores-giza-egypt
152,Senior Sales Engineer – Data Centers & Mission-Critical Infrastructure,Mobi Egypt,"Maadi,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Engineering - Telecom/Technology, B2B Sales, RFP, RFQ, Negotiation, contract structure, market trends, Infrastructure Engineering, Network Infrastructure, power solutions",https://wuzzuf.net/jobs/p/x8tb3ijdep9x-senior-sales-engineer-data-centers-mission-critical-infrastructure-mobi-egypt-cairo-egypt
155,Firefighting & Plumbing Design Engineer,ECE,"Sheraton,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Engineering - Mechanical/Electrical, Design, Engineering, Mechanical, Mechanical Engineering",https://wuzzuf.net/jobs/p/deqtidsm90n5-firefighting-plumbing-design-engineer-ece-cairo-egypt
157,Accounting Analyst,Frutal for Food Industries,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 15 Yrs of Exp,"Accounting/Finance, Analyst/Research, Accounting, Financial Analysis, Commerce, Finance, Budgeting, Forecasting, Variance Analysis, Financial Reporting",https://wuzzuf.net/jobs/p/nbvywszbdwea-accounting-analyst-frutal-for-food-industries-cairo-egypt
157,Electrical BIM Specialist,Eracore,"Cairo,Egypt",,Full Time,Remote,Experienced,2+ Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical, BIM, Electrical Engineering, Revit, Navisworks, Engineering, Engineering Services, Engineering Service, Engineering Field",https://wuzzuf.net/jobs/p/cpnsgxcayuvn-electrical-bim-specialist-eracore-cairo-egypt
159,Process Analyst,RISEUP (Endemag for Administrative Skills Development),"Maadi,Cairo,Egypt",,Full Time,Hybrid,Experienced,5 - 8 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Analyst/Research, Engineering - Mechanical/Electrical, BIM, Asana, Capital Allocation Request (CAR) database, Value Engineering (VE) database for Leadership Team Milestones (LTMs), White Papers (WPs) Budget expense tracking reports, Lessons Learnt (LL) Management, Change Request (CR) Management",https://wuzzuf.net/jobs/p/nj3rav1lsoe0-process-analyst-riseup-endemag-for-administrative-skills-development-cairo-egypt
159,Bilingual German Agents - Sheikh Zayed,Intouch CX,"Sheikh Zayed,Giza,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Customer Service/Support, Call Center, Customer Care, Customer Service, Customer Support",https://wuzzuf.net/jobs/p/zslc7gzntari-bilingual-german-agents-sheikh-zayed-intouch-cx-giza-egypt
161,Professional Methodology Analyst,APEX Pharma,"Badr City,Cairo,Egypt",,Full Time,On-site,Experienced,4 - 6 Yrs of Exp,"R&D/Science, Analyst/Research, Pharmaceutical, Methodology, Analysis, Science, Pharmacy, Quality Control, Process Analysis, Methodology Development",https://wuzzuf.net/jobs/p/anwijk5z59um-professional-methodology-analyst-apex-pharma-cairo-egypt
166,Data Analyst,Ibn Sina Pharma,"New Cairo,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development, Analyst/Research, Analysis, analytical, Commerce, BI, Communication skills, Computer Science, Data Analysis, Information Technology (IT)",https://wuzzuf.net/jobs/p/rfahe6atbsw0-data-analyst-ibn-sina-pharma-cairo-egypt
168,BIM Coordinator,BIMCloud,"Mansoura,Dakahlia,Egypt",,Full Time,On-site,Experienced,2 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Revit, Autodesk, Navisworks, technical shop drawing, Architecture, BIM, Engineering",https://wuzzuf.net/jobs/p/vobibmnvkczz-bim-coordinator-bimcloud-dakahlia-egypt
168,Data Entry - Night Shift,K Line Europe,"Nasr City,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Administration, Customer Service/Support, Data Entry, Graphic Design, CAD, ERP System, English, Microsoft Excel, Attention to detail, Data entry",https://wuzzuf.net/jobs/p/34rnolf01q1p-data-entry-night-shift-k-line-europe-cairo-egypt
174,MIS / Data Analyst,GOLD ERA,"Abbassia,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 10 Yrs of Exp,"Accounting/Finance, Analyst/Research, Sales/Retail, MIS, Data Analysis, Business Analysis, Power BI",https://wuzzuf.net/jobs/p/xiclpsglupxt-mis-data-analyst-gold-era-cairo-egypt
176,Development and Pricing Analyst - Real Estate,Upwyde,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance, Business Development, Analyst/Research, Business Analysis, Development, Pricing, Real Estate",https://wuzzuf.net/jobs/p/qc28xcdl3hke-development-and-pricing-analyst-real-estate-upwyde-cairo-egypt
177,Electrical BIM Engineer,Sinomacdi,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 10 Yrs of Exp,"Engineering - Mechanical/Electrical, Electrical Engineering, Electrical, BIM, engineer, Engineering, Mechanical Engineering, Revit, Sales",https://wuzzuf.net/jobs/p/uwtburl3pyfu-electrical-bim-engineer-sinoma-cdi-cairo-egypt
178,IT Business Analyst Manager (AEC),Dewan Architects and Engineers,"New Cairo,Cairo,Egypt",,Full Time,On-site,Manager,8+ Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Analysis, Computer Science, Information Technology (IT), BIM, ITIL, •	CBAP/CCBA",https://wuzzuf.net/jobs/p/iqofronbfx3c-it-business-analyst-manager-aec-dewan-architects-and-engineers-cairo-egypt
180,Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI,"Nasr City,Cairo,Egypt",,Full Time,Hybrid,Entry Level,0 - 3 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Data Science, Machine Learning, Python Programming, Teaching & Instruction, Curriculum Development, Statistical Analysis, Communication, AI Tools & Frameworks",https://wuzzuf.net/jobs/p/hif824t4axxr-data-scientist-and-machine-learning-engineer-applied-ai-knowledge-sharing-epsilonai-cairo-egypt
180,Data Analyst – Analytics & Knowledge Delivery,EpsilonAI,"Nasr City,Cairo,Egypt",,Full Time,Hybrid,Entry Level,0 - 3 Yrs of Exp,"IT/Software Development, Analyst/Research, Data Analysis, Database SQL Server, MySQL, Data Analytics, Big Data Analytics, Microsoft Excel, Power BI, Microsoft Power BI",https://wuzzuf.net/jobs/p/d6wrnnj6ofcu-data-analyst-analytics-knowledge-delivery-epsilonai-cairo-egypt
180,Senior Investment Analyst,IGIGroup,"Sheikh Zayed,Giza,Egypt",,Full Time,On-site,Experienced,5+ Yrs of Exp,"Accounting/Finance, Banking, Analyst/Research, Analysis, Business Analysis, Investment, Finance, Financial Accounting, Financial Data Analysis, Finance Management",https://wuzzuf.net/jobs/p/yg1lvbhbvs2r-senior-investment-analyst-igi-group-giza-egypt
184,Senior Database Admin & Developer (SQL),BITechnologies,"New Cairo,Cairo,Egypt",,Full Time,Hybrid,Experienced,5+ Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Database Administrator, Information Technology (IT), Computer Science, Database, SQL, backend, API",https://wuzzuf.net/jobs/p/zj23qr0die8o-senior-database-admin-developer-sql-bi-technologies-cairo-egypt
185,AI & Data Science Engineer,Raya Distribution,"Cairo,Egypt",,Full Time,On-site,Entry Level,1+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, AI, Computer Engineering, Computer Science, Data Science, Information Technology (IT), Software Engineering, Python, SQL",https://wuzzuf.net/jobs/p/r1yxretv7hyo-ai-data-science-engineer-raya-distribution-cairo-egypt
186,ERP Accountant (Oracle) – Reporting,Abou Seif Group,"Obour City,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance, IT/Software Development, ERP, Accounting, Financial Analysis, Oracle, Reporting, Report Building, Alfa ERP, ERP System",https://wuzzuf.net/jobs/p/qbucycqphpxu-erp-accountant-oracle-reporting-abou-seif-group-cairo-egypt
187,Mechanical BIM Engineer,Estithmar Holding,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,3+ Yrs of Exp,"Engineering - Mechanical/Electrical, BIM, Mechanical, Mechanical Engineering, Revit, Revit MEP, BIM Modeling, AutoCAD, MEP Engineering, AutoCAD MEP",https://wuzzuf.net/jobs/p/igsatinyemw4-mechanical-bim-engineer-estithmar-holding-cairo-egypt
188,MIS Risk Analyst,Al Ahly capital holding  Al Ahly Tamkeen,"Zamalek,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Banking, Analyst/Research, Analysis, Data Analysis, Computer Science, Banking, Risk, Management, information system, business",https://wuzzuf.net/jobs/p/au4yimf7xeg3-mis-risk-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt
189,Senior Oracle Database Administrator,Egabi FSI,"Sheraton,Cairo,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Administration, IT/Software Development, Engineering - Telecom/Technology, Administration, Computer Science, database administration, Database, Information Technology (IT), Oracle, OCP",https://wuzzuf.net/jobs/p/6oc66w8yusxy-senior-oracle-database-administrator-egabi-fsi-cairo-egypt
189,Data Entry - Fleet Department,Egyptian Starch and Glucose  Manufacturing Company,"Musturad,Qalubia,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Administration, Logistics/Supply Chain, Data Entry, Microsoft Office, Microsoft Excel, Logistics, Administration",https://wuzzuf.net/jobs/p/dn10iwu2v9nk-data-entry-fleet-department-egyptian-starch-and-glucose-manufacturing-company-qalubia-egypt
189,Senior FP&A Analyst,Transmar International,"Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 4 Yrs of Exp,"Accounting/Finance, Financial Analysis, Finance",https://wuzzuf.net/jobs/p/dyghrjhuwz0a-senior-fpa-analyst-transmar-international-cairo-egypt
